IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
26144423,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CANDLELIGHT,LN,,,GLIMMER,,,,,38.132461540,-85.778850201,0.314,11/9/2019 12:00:00 AM,1619,1,1,0,0,CLOUDY,DRY,False,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,1/6/2020 8:40:33 AM,False,7232,Accepted,
25906899,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,AFTERGLOW,,,,,38.126977543,-85.790419787,0.239,11/9/2019 12:00:00 AM,0029,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,11/11/2019 8:47:19 AM,False,5121,Accepted,
25906906,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,HOWARD,ST,,,28TH,,,,,38.246201810,-85.798775636,0.633,11/9/2019 12:00:00 AM,0221,1,1,0,0,CLEAR,DRY,True,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/11/2019 8:48:02 AM,False,7370,Accepted,
25906914,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1447,,WESTPORT,RD,,KY1747,HURSTBOURNE,,,,,38.287044887,-85.573744460,5.148,11/9/2019 12:00:00 AM,0900,2,2,0,0,CLEAR,DRY,True,COLLISION WITH PARKED VEHICLE,ANGLE,,DAYLIGHT,,,11/11/2019 8:48:43 AM,False,7631,Accepted,
25906952,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,STEPHEN FOSTER,AVE,,,SUSANNA,,,,,38.170655064,-85.694469711,0.078,11/9/2019 12:00:00 AM,1557,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/11/2019 8:53:14 AM,False,7366,Accepted,
25907022,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,VAUGHN MILL,,,,,38.137331730,-85.628428206,9.251,11/9/2019 12:00:00 AM,1820,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING RIGHT,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/11/2019 8:57:41 AM,False,7397,Accepted,
25926605,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BUECHEL,BYP,,KY2251,KY2251 CROSSOVER,,,,,38.200180813,-85.662264610,11.150,11/9/2019 12:00:00 AM,1622,2,2,0,1,CLEAR,DRY,True,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/15/2019 8:04:08 AM,False,2429,Accepted,
25906925,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,FOREMAN,LN,,,BOST,,,,,38.130189653,-85.694393795,0.393,11/9/2019 12:00:00 AM,1504,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/11/2019 8:50:13 AM,False,5026,Accepted,
25906950,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,1ST,ST,S,,KENTUCKY,,,,,38.238341819,-85.754967220,1.217,11/9/2019 12:00:00 AM,1453,2,2,0,6,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/11/2019 8:53:04 AM,False,7495,Accepted,
25906940,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BLANTON,LN,,US0031W,DIXIE,,,,,38.157358684,-85.833856179,0.004,11/9/2019 12:00:00 AM,1144,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & HILLCREST,DAYLIGHT,,,11/11/2019 8:52:35 AM,False,7177,Accepted,
