IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
29797749,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CENTRAL,AVE,,US0060A,TAYLOR,,,,,38.206319571,-85.776182038,1.028,3/9/2022 12:00:00 AM,0643,2,2,0,0,CLOUDY,WET,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAWN,,,3/10/2022 8:08:38 AM,False,5379,Accepted,
29797750,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,10500 BLK,DIXIE,HWY,,,,,,,,38.112575181,-85.863090594,9.029,3/9/2022 12:00:00 AM,0812,2,2,0,0,CLOUDY,WET,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:08:45 AM,False,2311,Accepted,
29797757,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,DUMESNIL,ST,,US0031W,22ND,,,,,38.236513219,-85.790356052,1.649,3/9/2022 12:00:00 AM,0721,2,2,0,4,CLOUDY,WET,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:09:17 AM,False,5412,Accepted,
29797758,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,1729,HILL,ST,W,,,,,,,38.228081439,-85.786214376,1.606,3/9/2022 12:00:00 AM,1616,3,3,0,1,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:09:21 AM,False,5412,Accepted,
29797759,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CHEROKEE,RD,,,CAVE HILL,,,,,38.243383608,-85.726443320,0.023,3/9/2022 12:00:00 AM,0735,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,CURVE & LEVEL,DAYLIGHT,,,3/10/2022 8:09:25 AM,False,5006,Accepted,
29797775,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,GRINSTEAD,,,,,38.238424888,-85.720861951,15.417,3/9/2022 12:00:00 AM,2149,2,2,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,3/10/2022 8:10:45 AM,False,5250,Accepted,
29793220,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CHESTNUT,ST,W,,1ST,,,,,38.248434009,-85.752978081,2.632,3/9/2022 12:00:00 AM,0543,2,2,0,0,RAINING,WET,True,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,3/9/2022 8:22:00 AM,False,5367,Accepted,
29796172,0565000,LYNDON POLICE DEPARTMENT,Accepted,JEFFERSON,US0060,8015,SHELBYVILLE,RD,,,,,WHIPPS MILL,,CHRISTIAN,38.248705981,-85.605155694,6.311,3/9/2022 12:00:00 AM,1507,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/9/2022 9:39:09 PM,False,1358,Accepted,
29797760,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,MARKET,ST,E,,,,BROOK,,1ST,38.254623498,-85.750895805,17.614,3/9/2022 12:00:00 AM,1405,2,2,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:09:29 AM,False,7363,Accepted,
29816519,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0264,,I264 W,,,,,,,,,38.245758608,-85.811032298,2.283,3/9/2022 12:00:00 AM,1644,2,2,0,1,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,3/15/2022 8:17:59 AM,False,8278,Accepted,
29821622,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1447,8715,WESTPORT,RD,,,,,,,,38.278587337,-85.596823876,3.741,3/9/2022 12:00:00 AM,0500,2,2,0,0,CLEAR,DRY,True,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),HEAD ON,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,3/16/2022 8:15:55 AM,True,7615,Accepted,
29821650,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,3RD,ST,S,KY2801,SOUTHERN HEIGHTS,,,,,38.189165215,-85.764875438,0.789,3/9/2022 12:00:00 AM,1017,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/16/2022 8:17:54 AM,False,7963,Accepted,
29811872,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0071,,I71 S,,,,,,,,,38.305417727,-85.600932869,7.860,3/9/2022 12:00:00 AM,2021,1,1,0,0,CLEAR,DRY,False,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,CURVE & HILLCREST,DARK-HWY NOT LIGHTED,,,3/14/2022 9:07:14 AM,False,7369,Accepted,
29816517,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0064,,I64 E,,,,,,,,,38.258940621,-85.751972465,4.811,3/9/2022 12:00:00 AM,1310,2,2,0,0,CLEAR,DRY,True,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/15/2022 8:17:44 AM,False,8278,Accepted,
29882340,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,1475,3RD,ST,S,,,,,,,38.226604922,-85.760125977,10.752,3/9/2022 12:00:00 AM,1815,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/31/2022 8:20:54 AM,False,5175,Accepted,
29793216,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,,,,,,38.136123904,-85.696920875,5.480,3/9/2022 12:00:00 AM,0427,1,1,0,0,SNOWING,SNOW/SLUSH,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,3/9/2022 8:21:44 AM,False,5314,Accepted,
29793218,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0065,,I65 N,,,,,,,,,38.205589773,-85.743142459,132.084,3/9/2022 12:00:00 AM,0412,1,1,0,0,SNOWING,WET,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,3/9/2022 8:21:53 AM,False,5378,Accepted,
29797752,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LEXINGTON,RD,,,,,,,,38.247992551,-85.731230623,0.090,3/9/2022 12:00:00 AM,1153,3,3,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:08:54 AM,False,7023,Accepted,
29796226,0560300,ST. MATTHEWS POLICE DEPARTMENT,Accepted,JEFFERSON,I 0264,,I264 W,,,,,,,,,38.232549209,-85.628752664,18.398,3/9/2022 12:00:00 AM,1525,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/9/2022 10:12:37 PM,False,9172,Accepted,
29797756,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,TUCKER STATION,RD,,,REHL,,,,,38.200333247,-85.528131420,3.541,3/9/2022 12:00:00 AM,1500,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:09:10 AM,False,7337,Accepted,
29797753,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060,,SHELBYVILLE,RD,,,ENGLISH STATION,,,,,38.240534685,-85.493526200,12.580,3/9/2022 12:00:00 AM,0916,2,2,0,0,CLOUDY,DRY,False,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:08:58 AM,False,7316,Accepted,
29797754,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0064,,I64 E,,,,,I 0064,I265 S EXIT25A RAMP TO I64 E,I 0265,I265 N,38.222617785,-85.504988103,19.003,3/9/2022 12:00:00 AM,0756,2,2,0,0,CLOUDY,WET,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:09:02 AM,False,7876,Accepted,
29797755,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,WATSON,LN,,,KINROSS,,,,,38.058006350,-85.894064089,0.219,3/9/2022 12:00:00 AM,1620,2,2,0,0,CLEAR,DRY,False,REAR END - ONE VEHICLE TURNING LEFT,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2022 8:09:06 AM,False,2936,Accepted,
29797763,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,,,WATTERSON,,,,,38.162946330,-85.613006429,6.848,3/9/2022 12:00:00 AM,1852,3,3,0,2,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DUSK,,,3/10/2022 8:09:42 AM,False,7698,Accepted,
29797769,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,MANSLICK,RD,,,STEPHAN,,,,,38.168193525,-85.797213477,6.439,3/9/2022 12:00:00 AM,2026,5,5,0,3,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/OFF,,,3/10/2022 8:10:08 AM,False,7992,Accepted,
29797771,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,315,BROADWAY,,W,,,,,,,38.246025693,-85.757541728,2.429,3/9/2022 12:00:00 AM,2240,2,1,0,1,CLEAR,DRY,True,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,3/10/2022 8:10:21 AM,False,5365,Accepted,
29797772,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0022,,BROWNSBORO,RD,,,NORTON HEALTHCARE,,,,,38.311045679,-85.570357656,4.277,3/9/2022 12:00:00 AM,2023,2,2,0,1,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,3/10/2022 8:10:27 AM,False,7440,Accepted,
29797764,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MAGNOLIA,AVE,W,,7TH,,,,,38.229657701,-85.767564825,0.611,3/9/2022 12:00:00 AM,0753,2,2,0,0,CLOUDY,WET,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,3/10/2022 8:09:47 AM,False,5321,Accepted,
29802315,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,DENNY CRUM OVERPASS,,,,2ND,,,,,38.204550120,-85.763195358,0.043,3/9/2022 12:00:00 AM,1937,2,2,0,1,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & HILLCREST,DUSK,,,3/11/2022 7:17:59 AM,False,7291,Accepted,
