IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
30038888,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,KERRICK,,,,,38.155238462,-85.834867384,12.386,5/9/2022 12:00:00 AM,0657,2,2,0,0,CLOUDY,DRY,True,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,5/10/2022 8:17:19 AM,False,7340,Accepted,
30038905,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,REAMERS,RD,,,VILLAGE GREEN,,,,,38.292178476,-85.481221443,1.452,5/9/2022 12:00:00 AM,1941,2,2,0,2,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,5/10/2022 8:18:51 AM,False,7984,Accepted,
30038906,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0146,,LA GRANGE,RD,,,SADDLECREEK,,,,,38.296138579,-85.506753536,8.192,5/9/2022 12:00:00 AM,2122,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,5/10/2022 8:18:58 AM,False,5289,Accepted,
30038913,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,2806,CHESTNUT,ST,W,,,,,,,38.253375303,-85.798251178,0.147,5/9/2022 12:00:00 AM,1819,2,2,0,0,CLEAR,DRY,False,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,5/10/2022 8:19:19 AM,False,5271,Accepted,
30045414,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,16TH,ST,S,,LEE,,,,,38.226068443,-85.781710821,1.643,5/9/2022 12:00:00 AM,1829,2,2,0,1,CLEAR,DRY,False,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,5/11/2022 8:24:30 AM,False,5179,Accepted,
30090901,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0064,,I64 W,,,,,,,,,38.277237134,-85.798577122,1.603,5/9/2022 12:00:00 AM,1442,2,2,0,1,CLEAR,DRY,True,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,CURVE & GRADE,DAYLIGHT,,,5/23/2022 8:43:09 AM,False,8278,Accepted,
30038882,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,LAMBERT,,,,,38.137965662,-85.676821033,6.603,5/9/2022 12:00:00 AM,0857,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,5/10/2022 8:16:39 AM,False,2017,Accepted,
30038883,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,AIR COMMERCE,DR,,KY1065,OUTER,,,,,38.134725334,-85.719197738,0.006,5/9/2022 12:00:00 AM,0745,2,2,0,0,CLEAR,DRY,False,VEHICLE BACKING IN INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,5/10/2022 8:16:46 AM,False,2017,Accepted,
30038889,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,PLANTSIDE,DR,,,,,,,,38.212028622,-85.525435584,3.368,5/9/2022 12:00:00 AM,1345,1,1,0,1,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,5/10/2022 8:17:23 AM,False,7316,Accepted,
30038899,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,1366,20TH,ST,S,,,,,,,38.232991484,-85.789854453,0.884,5/9/2022 12:00:00 AM,1618,1,1,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,5/10/2022 8:18:16 AM,False,5057,Accepted,
