IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
25613421,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,SALE,AVE,,,POWELL,,,,,38.197775133,-85.790121584,0.711,9/9/2019 12:00:00 AM,0707,2,2,0,0,CLEAR,DRY,False,COLLISION WITH PARKED VEHICLE,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,9/9/2019 10:48:00 AM,False,7040,Accepted,
25618124,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,DR WILLIAM G WEATHERS,DR,,,31ST,,,,,38.228012980,-85.808908962,0.214,9/9/2019 12:00:00 AM,1435,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/10/2019 8:57:43 AM,False,5002,Accepted,
25618180,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,SHERWOOD,,,,,38.231578601,-85.707735901,14.539,9/9/2019 12:00:00 AM,1720,2,2,0,1,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/10/2019 9:02:36 AM,False,2100,Accepted,
25618087,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,27TH,ST,S,,ELLIOTT,,,,,38.250736180,-85.796380497,0.379,9/9/2019 12:00:00 AM,1543,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/10/2019 8:52:42 AM,False,7241,Accepted,
25613184,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY2052,,KY2052 TURN LANE,,,KY2052,SHEPHERDSVILLE,,,,,38.177925075,-85.659510476,0.012,9/9/2019 12:00:00 AM,0628,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAWN,,,9/9/2019 10:22:35 AM,False,7492,Accepted,
25613164,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,ANTLE,DR,,,STANDIFORD PLAZA,,,,,38.087463205,-85.666183945,0.234,9/9/2019 12:00:00 AM,0454,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,9/9/2019 10:21:49 AM,False,5138,Accepted,
25644388,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY2049,,CRUMS,LN,,,FREEMAN,,,,,38.196918689,-85.831741463,0.337,9/9/2019 12:00:00 AM,1545,2,1,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/16/2019 10:04:00 AM,False,7467,Accepted,
25618151,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,N,,WHIPPS MILL,,,,,38.274031108,-85.563652432,15.970,9/9/2019 12:00:00 AM,1407,2,2,0,1,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,9/10/2019 9:01:08 AM,False,2346,Accepted,
25618134,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,3RD,ST,S,,LEE,,,,,38.223188648,-85.760711856,10.507,9/9/2019 12:00:00 AM,1505,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/10/2019 8:59:16 AM,False,7334,Accepted,
25618174,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MAGAZINE,ST,,,8TH,,,,,38.248391067,-85.764696298,0.089,9/9/2019 12:00:00 AM,1711,2,2,0,2,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,9/10/2019 9:02:15 AM,False,7229,Accepted,
