IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
30287362,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0064,,,,,,,,,,,38.257396888,-85.741242198,0.092,7/9/2022 12:00:00 AM,0748,1,1,0,1,RAINING,WET,False,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,SINGLE VEHICLE,CURVE & HILLCREST,DAYLIGHT,I 0064,I 0071,7/11/2022 8:18:04 AM,False,7058,Accepted,
30300483,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GRINSTEAD,DR,,I 0064,I64 W EXIT8 ON RAMP FROM  GRINSTEAD DR,,,,,38.247806435,-85.700213615,0.297,7/9/2022 12:00:00 AM,2156,2,2,0,1,CLEAR,DRY,False,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,7/14/2022 8:25:23 AM,False,5250,Accepted,
30287393,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,AUTUMN LAKE,DR,,,SPRINGVIEW,,,,,38.075694961,-85.877194633,0.409,7/9/2022 12:00:00 AM,1453,2,2,0,1,RAINING,WET,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/11/2022 8:19:20 AM,False,2311,Accepted,
30287373,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0065,,I65 N,,,I 0065,I65 N EXIT128 TRANSIT,,,,,38.154055844,-85.716070820,128.011,7/9/2022 12:00:00 AM,1134,3,3,0,3,RAINING,WET,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/11/2022 8:18:43 AM,False,5141,Accepted,
30314369,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,POPLAR LEVEL,RD,,,FREY,,,,,38.160667299,-85.676691305,8.346,7/9/2022 12:00:00 AM,1902,1,1,0,1,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,7/18/2022 8:46:02 AM,False,7628,Accepted,
30287371,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,SMYRNA,PKWY,,,APPLEGATE,,,,,38.131622344,-85.642538916,0.437,7/9/2022 12:00:00 AM,1334,3,3,0,1,RAINING,WET,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/11/2022 8:18:34 AM,False,7090,Accepted,
30324159,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,INDIAN,TRL,E,,,,LODEMA,KY0864,POPLAR LEVEL,38.171325946,-85.685616499,1.163,7/9/2022 12:00:00 AM,0924,2,2,0,0,CLOUDY,WET,True,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,7/20/2022 8:15:57 AM,False,5027,Accepted,
30319310,0561500,UNIV. OF LOUISVILLE POLICE,Accepted,JEFFERSON,US0060A,,EASTERN,PKWY,,,BRADLEY,,,,,38.212484510,-85.747121306,4.279,7/9/2022 12:00:00 AM,1256,2,2,0,2,RAINING,WET,False,HEAD-ON COLLISION,HEAD ON,CURVE & LEVEL,DAYLIGHT,,,7/19/2022 9:48:04 AM,False,5712,Accepted,
30287396,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,4655,OUTER,LOOP,,,,,,,,38.138075659,-85.675905794,6.650,7/9/2022 12:00:00 AM,2043,2,2,0,0,CLEAR,DRY,False,COLLISION IN PARKING LOT,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DUSK,,,7/11/2022 8:19:37 AM,False,7379,Accepted,
30287437,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,GRADE,,,,,38.179959765,-85.718335618,7.342,7/9/2022 12:00:00 AM,0548,2,2,0,0,RAINING,WET,False,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,7/11/2022 8:22:31 AM,False,5434,Accepted,
